"","logFC","logCPM","PValue","FDR"
"AT2G19710",1.92584870629307,5.2833752728166,2.28205909947171e-18,2.4506903707656e-17
"AT2G23100",2.2125955661261,3.11740695437008,2.28616407981039e-18,2.4535915658272e-17
"AT3G60390",-2.66979225891368,2.03380687317033,2.30935902685992e-18,2.47696465439214e-17
"AT2G21210",-1.93610514120242,5.13529434643788,2.3703761910291e-18,2.54085143763101e-17
"AT2G39020",1.9055902478763,5.67218271631777,2.45360044451759e-18,2.62844954482236e-17
"AT1G78050",2.57762554441411,2.12965024996134,2.48406015665197e-18,2.65945031958031e-17
"AT4G29140",-2.25869288636593,3.00178867241387,2.63067792653548e-18,2.81469658443205e-17
"AT1G55850",-1.90484148004695,5.61778502355735,2.90291338342195e-18,3.10407551574104e-17
"AT1G13940",-2.16971897197064,3.28896062662334,2.93617692149184e-18,3.13772500723973e-17
"AT1G76180",1.84281203142602,8.51376461968656,3.1094174272227e-18,3.32082742090009e-17
"AT5G04250",2.12672034000446,3.45414514626143,3.15734363678186e-18,3.36995352880691e-17
"AT2G03440",-1.89772701130368,5.70492543782435,3.1722317644411e-18,3.38377839766466e-17
"AT4G32030",1.91348881567446,5.31525117523127,3.48775517042177e-18,3.71807461246852e-17
"AT4G34650",2.02212941817843,4.05034156550891,3.54191538798672e-18,3.77351046484898e-17
"AT4G17810",-2.15199690117543,3.37320100693058,3.56546258824367e-18,3.79628394824994e-17
"AT4G34790",-9.18925549271824,0.0761541895887597,3.6731720904202e-18,3.90858598032967e-17
"AT4G35600",1.90994421518271,5.35830682596116,3.68159637979706e-18,3.91516724501168e-17
"AT1G64700",2.6176567113001,2.00345179056267,4.17174640913341e-18,4.43371686753066e-17
"AT2G22190",1.8927708003562,5.64695396007952,4.22097548932031e-18,4.48331193680358e-17
"AT1G49180",-2.63167840778991,2.03726035101873,4.70868969728541e-18,4.99830127368797e-17
"AT1G50600",1.85539889005401,6.33902982482084,5.1052904497254e-18,5.41600685270323e-17
"AT5G59350",-2.06563644465715,3.73972049545644,5.16303983181851e-18,5.4739493862755e-17
"AT2G39518",4.93356992383086,0.426313850740512,5.36562268073349e-18,5.68528371680385e-17
"AT3G26910",1.98817052750605,4.25764600236712,5.45353476524169e-18,5.77493327078864e-17
"AT1G80050",-2.87376020402031,1.63594792496631,5.58519416030634e-18,5.91077176178183e-17
"AT1G72260",9.17507928629902,0.0349120136522303,5.8087372592692e-18,6.13950427026247e-17
"AT5G03204",9.17507928629902,0.0349120136522303,5.8087372592692e-18,6.13950427026247e-17
"AT3G26740",-1.82260457625421,9.82087418468125,5.81186270507601e-18,6.13950427026247e-17
"AT2G44200",1.89825681788981,5.31761570607741,5.95292777608627e-18,6.28472441481378e-17
"AT3G25700",1.97350242375401,4.3459327295556,5.97113939064388e-18,6.30014664855926e-17
"AT3G17609",2.15856199312659,3.22571703220723,6.05943734915282e-18,6.3894537500144e-17
"AT5G13550",1.88225054827925,5.64603379297007,6.21408512813492e-18,6.54857446022802e-17
"AT2G24610",2.61881608119757,1.97035637175753,6.31948081605735e-18,6.65563151247775e-17
"AT5G47070",1.89045273097687,5.44439094013446,6.34736912960739e-18,6.68097859680469e-17
"AT4G11350",3.12340341433855,1.31802196112572,6.38116266295523e-18,6.71250702987042e-17
"AT2G21120",1.85023742317723,6.2801605627979,6.55249695458795e-18,6.8885931603765e-17
"AT5G25910",4.61134549381828,0.512968317464655,6.58039096699074e-18,6.9137605334074e-17
"AT1G56240",3.4165118187233,1.04550847074022,7.09066462613249e-18,7.44541079031077e-17
"AT5G62770",2.26242674061304,2.81040641456158,7.25732130144968e-18,7.6158312312872e-17
"AT1G67060",1.94689011337662,4.56020900145662,7.33577001617837e-18,7.69353732410596e-17
"AT3G25882",2.05340083248458,3.72673303050488,7.45756926865523e-18,7.81658774124097e-17
"AT1G69610",2.02390223433815,3.89688399658754,7.77052245388539e-18,8.13972702584052e-17
"AT3G50620",2.10587581688694,3.40903426400321,7.9156660814313e-18,8.28680180249482e-17
"AT3G02480",4.91930016170632,0.412958338778616,8.00108498234598e-18,8.37121297105654e-17
"AT1G61640",1.95698036826521,4.45718039238105,8.0833476859309e-18,8.45222294217284e-17
"AT3G49350",1.89091939303925,5.31333852510907,8.22709188285007e-18,8.59738478110387e-17
"AT2G45170",-2.22422534390446,2.97353428315901,8.55510561884925e-18,8.93482147755922e-17
"AT4G21790",1.83137416174229,6.84391298272463,8.91631865589656e-18,9.30650740662923e-17
"AT3G47080",1.83871924154861,6.37487690313972,9.38602990311394e-18,9.7909284484571e-17
"AT1G08500",2.3935968274383,2.43765317553533,9.55224097243432e-18,9.95836785456584e-17
"AT1G52750",-2.24164837576286,2.85010558908446,1.08358745554531e-17,1.12898447469002e-16
"AT4G15440",1.84361980791168,6.01722923301703,1.08730459718188e-17,1.13218262492738e-16
"AT1G44830",6.16090671012437,0.165572923348838,1.11374279662559e-17,1.15902174484555e-16
"AT5G56170",1.82683769164626,6.68314413093928,1.17505154614659e-17,1.22209554915412e-16
"AT5G47850",4.90171637827319,0.39651358087515,1.19489661927237e-17,1.24199628981801e-16
"AT4G21940",2.18511539860093,2.99251519893703,1.19928013625165e-17,1.24581192050431e-16
"AT1G66890",-2.27010733900188,2.75645132724334,1.20200411910529e-17,1.24790011961507e-16
"AT5G66520",-2.06565902458945,3.59983860196313,1.26160410432162e-17,1.30899848996172e-16
"AT1G10640",-2.70004603487865,1.86579471605556,1.28023135067904e-17,1.32753764554695e-16
"AT5G14920",-1.86808582896942,5.53927981519119,1.28582841940814e-17,1.33255117110329e-16
"AT1G18265",-2.42992418242774,2.31958093589176,1.30234901728166e-17,1.34887250409569e-16
"AT3G19400",-2.07225189874565,3.52559844815619,1.34057045445608e-17,1.38763725608382e-16
"AT1G08930",1.80331679801352,8.60177815102885,1.42174615532234e-17,1.47043152027544e-16
"AT1G27360",1.87471274316614,5.31952912734774,1.42223857506479e-17,1.47043152027544e-16
"AT4G26890",3.80541274640102,0.7207297954039,1.4376354399166e-17,1.48547165461358e-16
"AT4G21200",2.99338203631861,1.41068764587643,1.49684159642415e-17,1.54573429594114e-16
"AT3G48090",1.82169940941002,6.54436944976569,1.57489199763801e-17,1.62537407288698e-16
"AT1G07200",-1.99371485527024,4.00451158009407,1.5952519357269e-17,1.64541531518073e-16
"AT1G76160",1.79907209116174,8.79796942475866,1.62070828481483e-17,1.67068649430529e-16
"AT3G13000",-1.90394498385415,4.83237509467705,1.77912417696384e-17,1.83240532666405e-16
"AT4G33940",1.91697955417201,4.62271356529643,1.77968554863327e-17,1.83240532666405e-16
